T5_learning difficulty,T2_Post_effectiveness,T4_Post_needforhelp,T7_shared_control_student,T8_shared_teacher,T11__cogn_load,T13_own_effort,T14_TAM_easy,student_id
3.4,1.67,3.0,5.0,5.0,5.0,5.0,4.2,keila2
3.6,3.0,3.0,3.25,3.0,3.0,3.0,3.6,keila3
2.8,3.0,2.0,3.25,4.75,2.63,3.75,3.8,keila4
2.6,2.67,3.0,2.75,3.75,2.88,2.75,4.6,keila5
3.6,2.17,3.0,3.75,3.75,2.63,3.25,3.6,keila6
2.8,4.0,3.5,3.5,4.25,2.63,3.0,3.0,keila7
2.8,2.83,2.5,3.5,2.75,3.0,3.25,3.6,keila8
4.4,2.0,2.5,2.75,3.0,3.13,2.25,3.2,keila9
3.8,3.67,2.5,4.0,3.5,2.88,3.5,3.6,keila11
2.6,1.83,3.5,3.0,3.5,3.0,3.25,3.0,keila12
3.0,2.0,4.0,3.0,4.0,3.88,3.5,2.2,keila13
2.6,3.0,3.0,3.0,3.0,3.0,3.0,3.0,keila14
2.6,3.83,2.5,4.0,3.75,2.13,3.75,5.0,keila15
5.2,5.0,5.0,3.5,2.5,3.38,4.0,3.0,keila16
4.0,3.5,2.5,3.25,3.75,2.88,3.5,3.8,keila19
3.8,1.0,1.0,2.25,2.75,3.13,2.5,3.0,keila20
3.8,3.5,3.5,3.0,3.5,3.63,4.0,3.6,lagedi2
3.6,3.33,2.5,3.5,4.0,2.5,4.25,4.2,lagedi3
2.6,2.83,2.5,3.5,4.0,2.38,4.25,4.0,lagedi4
5.0,3.33,3.5,2.75,3.5,3.0,2.25,3.0,lagedi5
2.6,1.67,5.0,4.0,4.0,4.0,3.75,5.0,lagedi6
2.0,4.67,1.0,5.0,4.5,1.0,4.5,5.0,lagedi7
3.0,2.33,4.5,3.75,4.0,4.25,3.0,3.2,lagedi8
2.4,3.17,3.0,3.5,3.5,1.88,2.75,3.6,lagedi9
5.0,3.33,3.5,3.0,4.5,2.5,3.5,4.6,lagedi10
4.2,3.5,3.5,2.75,4.75,3.25,4.0,3.0,lagedi11
3.8,4.0,1.5,3.75,4.0,1.38,4.0,4.0,lagedi12
3.8,3.17,3.5,3.0,3.5,3.0,3.5,2.2,lagedi13
4.8,3.83,3.0,3.0,3.0,2.75,3.5,4.2,lagedi15
3.6,4.67,3.0,3.0,3.0,1.75,3.25,4.0,lagedi16
3.6,3.5,1.5,3.0,3.5,2.63,3.5,4.4,lagedi17
3.6,3.0,3.5,4.25,3.25,3.75,2.25,4.4,lagedi18
3.0,3.17,3.0,4.25,3.75,3.0,3.25,4.6,lagedi19
2.8,4.67,2.0,4.0,4.75,2.88,4.0,4.0,lagedi21
2.4,3.83,3.0,3.5,3.75,2.0,3.5,3.8,lagedi22
3.2,3.0,4.0,3.0,3.75,3.13,3.5,3.6,lagedi23
5.0,3.67,2.0,4.5,2.5,2.0,2.5,4.8,lagedi24
4.2,3.17,3.0,2.75,3.0,2.5,3.25,2.6,maleva2
4.0,3.67,2.0,3.5,4.75,2.88,4.5,3.0,maleva7
6.0,2.67,2.5,3.75,5.0,4.38,3.75,2.8,maleva18
3.8,2.83,4.0,3.5,3.25,2.13,3.0,3.6,maleva25
2.4,3.0,3.5,3.0,3.0,3.0,3.0,3.0,peetri1
5.6,2.33,3.5,4.5,4.25,3.88,2.5,3.4,peetri5
3.2,2.33,2.5,3.0,5.0,2.75,3.5,4.0,peetri6
4.8,3.0,3.5,3.0,3.0,3.25,2.5,3.2,peetri7
3.6,2.83,5.0,3.25,4.5,3.63,4.0,3.4,peetri9
3.4,1.0,4.5,2.25,3.0,4.75,4.5,3.0,peetri10
2.0,4.33,1.5,4.25,5.0,2.13,4.0,4.4,peetri11
3.8,4.17,4.0,3.75,4.25,2.13,3.0,3.2,peetri12
3.4,4.0,2.5,4.5,4.75,2.5,3.5,3.8,peetri13
2.0,1.83,4.0,3.5,3.0,4.0,2.75,1.8,peetri14
3.8,2.67,4.0,3.5,4.0,3.75,3.75,2.6,peetri15
3.6,4.33,2.5,5.0,5.0,1.25,4.0,4.8,peetri17
3.0,1.5,3.0,1.75,2.5,2.0,1.75,2.0,peetri22
2.0,2.0,2.5,3.25,4.5,3.0,3.0,3.0,peetri23
3.0,3.0,3.0,4.0,3.0,2.13,2.75,3.8,peetri24
4.2,4.67,3.5,5.0,5.0,3.0,3.0,3.0,peetri26
5.2,3.33,3.0,4.75,4.25,3.0,3.75,3.4,peetri27
2.2,2.67,3.0,2.75,4.5,3.75,1.75,1.6,peetri29
3.4,3.0,3.0,3.0,4.0,3.38,3.25,3.6,peetri34
3.8,3.17,2.5,4.0,4.75,2.0,4.0,3.8,peetri35
4.8,3.17,3.5,4.25,3.75,3.63,4.0,3.2,peetri37
3.2,2.83,2.5,4.5,4.0,2.25,3.75,3.0,peetri39
4.4,5.0,2.0,3.0,3.0,3.13,2.5,3.4,peetri42
2.8,4.5,1.0,4.5,4.75,1.63,4.5,4.6,peetri44
2.8,4.67,1.0,5.0,2.75,1.0,4.25,4.6,peetri46
2.2,2.83,3.5,4.25,4.25,4.38,3.25,2.0,peetri48
4.0,3.17,3.5,4.25,3.75,2.38,4.75,4.0,peetri50
2.4,2.67,4.0,4.0,3.75,3.5,3.5,3.0,peetri52
2.8,3.83,3.0,3.25,4.0,3.5,4.25,3.0,peetri55
3.6,3.5,4.0,3.5,4.25,3.5,3.5,3.2,peetri56
4.6,1.67,4.5,4.0,3.0,4.63,2.5,3.2,peetri57
2.8,2.67,2.0,4.5,4.25,2.13,3.5,3.4,peetri61
3.4,3.33,3.5,3.75,3.5,2.75,3.5,4.4,peetri62
3.8,3.5,3.5,4.0,5.0,1.5,4.5,3.8,peetri63
4.4,3.5,2.5,4.25,3.5,2.0,3.0,2.6,peetri64
3.0,2.5,3.5,4.75,4.0,2.25,4.0,3.0,peetri65
3.2,4.0,1.5,4.25,4.5,1.75,3.5,4.0,peetri67
4.2,4.33,2.5,3.75,3.75,2.13,3.5,4.0,peetri68
2.6,2.5,3.0,4.0,3.75,3.0,3.0,4.0,peetri69
2.2,3.83,1.0,4.5,4.5,1.0,3.5,4.4,peetri72
2.6,3.67,1.0,4.25,4.25,2.13,3.25,4.6,peetri73
2.8,3.0,3.0,4.5,4.25,1.88,3.5,3.8,peetri74
3.8,4.33,2.5,5.0,3.75,1.13,4.75,5.0,peetri76
2.6,4.0,3.0,4.25,3.75,2.0,3.75,3.6,peetri77
3.2,4.0,1.0,5.0,5.0,1.75,4.75,5.0,peetri78
2.2,3.17,3.5,5.0,4.75,3.0,4.25,4.4,peetri79
2.8,2.67,3.5,3.0,3.0,3.0,1.5,3.2,peetri81
2.6,4.17,2.5,4.5,4.0,2.25,4.5,4.8,peetri82
5.4,3.17,2.5,4.0,2.75,3.13,2.75,2.8,peetri83
2.0,1.83,5.0,4.5,4.5,2.88,1.5,4.6,peetri85
3.2,3.0,3.0,3.0,3.0,3.0,2.75,1.8,peetri86
4.0,2.83,3.5,3.0,4.0,3.13,2.75,3.4,peetri87
2.8,3.5,3.5,3.75,3.75,2.63,3.75,3.0,peetri88
3.4,2.33,3.5,3.0,3.0,3.88,3.0,3.8,peetri89
2.6,3.67,3.5,4.0,4.75,3.13,3.75,3.4,peetri90
3.8,4.0,2.0,4.0,3.5,1.88,3.25,4.0,peetri91
4.0,2.17,3.0,4.0,4.0,2.75,3.5,3.2,peetri92
3.6,3.0,2.5,3.0,3.0,3.0,3.0,3.0,peetri93
3.8,2.5,4.5,4.0,4.0,4.13,3.25,3.6,peetri94
3.2,3.0,3.0,3.5,3.5,3.63,3.75,2.6,peetri96
3.2,2.17,2.5,3.75,3.75,3.0,3.0,4.0,peetri97
